date,submission,kaggle_public,local_run,note
09-17,submission_ens_V2PEVAPtemp.csv,0.98196,V2P + eva02 pseudo1 temp-matched equal,POST-HOC lineage (gate overridden). Blend screen PASSES: reserve 94.04% exceeds both members (+1.04pt); k=80 vs pick 1; signal over pick 1 needs >= 0.98269. PREDICTION: beats V2P alone; vs pick 1 most likely a tie. RESULT 0.98196 -- highest public score of the project
09-17,submission_dinov3vitlps1b.csv,0.98164,"dinov3 vitl pseudo1, teacher V2P+EVAP","Student of the 0.98196 teacher. 0.51% disagreement with V3P (60 rows), reserve 93.26%. Blend member only. SUBMITTED by the user: 0.98164 -- best single model of the project; TIE vs both picks (k=96 vs V2PEVAP, k=60 vs V2PV3P)"
09-17,submission_ens_V2PV3P2temp.csv,0.98121,V2P + V3P2 temp-matched equal,"Pre-registered screen PASSES: k=75 vs best, reserve 94.30% exceeds both (+1.04). But k=31 vs pick 2 (V2P+V3P) and reserve below pick 2 (94.43). PREDICTION: within noise of pick 2; no signal vs either pick. RESULT 0.98121: vs pick 2 k=31, -0.011pt -> TIE (prediction held). Picks unchanged"
09-21,submission_dinov3vithp_base.csv,0.97950,dinov3 ViT-H+/16 base,"CAPACITY. 840.5M params full fine-tune on a 10 GB card, made to fit by 8-bit Adam + CPU-resident EMA + 4x-coarsened EMA updates (measured 8.32 GB, 529 s/epoch). Pre-registered gate >= 0.9750; PREDICTION: clears it and beats V3T base. RESULT 0.97950 -- gate cleared by 0.45pt, both clauses held. vs V3T base (same prior, same recipe, 2.8x fewer params) +0.394pt, k=183, 60.1% -> SIGNAL better. Overturns ""capacity is not the bottleneck"" INSIDE the ViT+DINO family; it still did not pay in the ConvNeXt family. Reserve 95.21%, the highest of any model or blend. Two uncontrolled confounds: 8-bit optimiser, coarsened EMA"
09-21,submission_dinov3vithpps1.csv,0.98014,dinov3 ViT-H+ pseudo1,"Teacher V2P+EVAP (0.98196). PREDICTION: widest upside of the three candidates, by the +0.59..+1.22pt lineage pattern. RESULT +0.064pt only -- the SMALLEST distillation gain of any lineage, by 9x. PREDICTION WRONG. Foreseeable: its base was already the strongest here, so the stage had little to add and eroded it (reserve 95.21 -> 92.75, confidence 0.8580 -> 0.8097). Lineage gain is conditional on the base having headroom"
09-21,submission_ens_V2PHPtemp.csv,0.98143,V2P + HP temp-matched,"Blend screen PASS (reserve 94.17%, k=84). vs pick 1 -0.053pt, 46.3% -> TIE"
09-21,submission_ens_EVAPHPtemp.csv,0.98324,EVAP + HP temp-matched,"NEW BEST. First SIGNAL over pick 1 since it was set: k=60, +0.128pt, 62.5%. Cleared the pre-registered 0.98299 threshold written down before the submission. The blend of the SHARPEST member (EVAP 0.9013) and the BLUNTEST (HP 0.8097) after temperature matching. The erosion that made HP a poor standalone model is what made it the best partner"
09-21,submission_ens_V3P2HPtemp.csv,0.98271,V3P2 + HP,"Post-hoc screen, only passer of 6. k=68 vs best, -0.053pt, 45.4% -> TIE. Expectation ""0-2 passes, no signal"" held"
09-21,submission_ens_V3PHPbasetemp.csv,0.98313,V3P + HP base,"HP BASE has ZERO test-set exposure -- the only strong member in the project with none. k=84 vs best, -0.011pt, 49.2% -> TIE, a dead heat. Became pick 2 on the E[final] model (+0.049pt, the first pick difference to clear the ~0.02pt noise band)"
09-21,submission_ens_V2PHPbasetemp.csv,0.98217,V2P + HP base,"k=97, -0.107pt, 43.6% -> TIE. Reserve ranked it ABOVE V3P+HPbase (95.73 vs 95.34); the leaderboard reversed it by 0.096pt -- reserve failure #2 at ranking blends"
09-22,submission_ens_EVAPHPbaseV2basetemp.csv,0.98164,EVAP+HPbase+V2base,Reserve 95.85% -- HIGHEST EVER MEASURED -- and the second-lowest score of its group. Reserve failure #3 at ranking blends
09-22,submission_ens_EVAPV2basetemp.csv,0.98057,EVAP + V2base,"Two-bar STRENGTH clause: V2 base is -0.96pt from the anchor, past the -0.42pt ""too weak"" boundary"
09-22,submission_ens_HPV3Tbasetemp.csv,0.98004,HP + V3T base,Same cause: V3T base -0.77pt from the anchor
09-22,submission_ens_HPV2basetemp.csv,0.97982,HP + V2base,Same cause
09-22,submission_ens_V2baseHPbasetemp.csv,0.97918,V2base + HPbase,Same cause
09-22,submission_ens_EVAPHP256temp.csv,0.98335,FINAL PICK 1 -- EVAP + HP at native-grid TTA,"ViT-H+ has a native 256px position grid (16x16=256 tokens) but was inferred at 192px (144 tokens). Moving its TTA scales to 192/224/256 was pre-registered and measured on BOTH held-out strata first: it lowered neither and raised the reserve significantly for HP base (6 vs 0, p=0.031). Inside the blend it moves only 7 of 11,681 rows. k=7 -> a certain TIE, and yet both files scored higher than their predecessors. My ""do not submit"" advice was wrong: the k<30 rule answers ""can a submission resolve A vs B"", but pick selection consumes the public score as a point estimate and needs no resolution"
09-22,submission_ens_V3PHPbase256temp.csv,0.98335,FINAL PICK 2 -- V3P + HP base at native-grid TTA,"Same change. Both picks now sit at the same public score, the shape that maximises E[gain] for a given k (81). E[final] 0.98404 over a full 16-candidate pairwise search"
09-22,submission_dinov3vitlfocal_base.csv,0.97385,"dinov3 ViT-L base, FOCAL LOSS gamma=2","THE SHARPEST INSTRUMENT FAILURE IN THE PROJECT. Better than its control on BOTH held-out sets -- validation photos 0.9958 vs 0.9951 (best base model here) and rendition reserve 94.04% vs 92.88% (+1.17pt) -- and WORSE on the leaderboard, -0.171pt. Mean confidence 0.6588 vs 0.85-0.90 for everything else; best epoch 13/16 when every other run peaked at 1-6. PREDICTION was 0.975-0.979: wrong, and wrong in the direction of over-rating a model that looked good locally"
09-22,submission_ens_EVAPFOCALtemp.csv,0.98089,EVAP + FOCAL,Reserve 94.56%
09-22,submission_ens_V3PFOCALtemp.csv,0.98046,V3P + FOCAL,Reserve 94.56%
09-22,submission_ens_HPFOCALtemp.csv,0.97929,HP + FOCAL,Reserve 95.08%
09-22,submission_ens_HPbaseFOCALtemp.csv,0.97833,HPbase + FOCAL,"Reserve 96.11% -- the HIGHEST ever measured -- and the LOWEST score of the four focal blends. Spearman(reserve, leaderboard) over the four = -0.95, a near-perfect INVERSION. Reserve failure #4; ranking blends on it is now permanently closed"
